price-date,EURUSD
2021-05-04,1.2014
2021-06-04,1.2167
2021-06-09,1.218
2021-07-30,1.1871
2021-08-02,1.187
2021-08-03,1.1864
2021-08-06,1.1762
2021-08-12,1.173
2021-08-23,1.1745
2021-09-07,1.184
2021-09-08,1.1816
2021-09-21,1.1726
2021-09-23,1.1739
2021-10-22,1.1644
2021-10-28,1.1681
2021-11-01,1.1606
2021-11-02,1.1579
2021-11-03,1.1612
2021-11-04,1.1554
2021-11-09,1.1593
2021-11-19,1.129
2021-11-29,1.1291
2021-12-01,1.132
2021-12-02,1.1301
2021-12-06,1.1286
2021-12-07,1.1267
2021-12-13,1.1284
2021-12-15,1.1289
2021-12-20,1.1278
2021-12-27,1.1328
2021-12-28,1.131
2021-12-29,1.1349
2021-12-30,1.1325
2022-01-01,1.1325
2022-01-06,1.1297
2022-01-14,1.1411
2022-01-20,1.1312
2022-01-24,1.1326
2022-01-26,1.124
2022-01-31,1.1235
2022-02-03,1.144
2022-02-08,1.1415
2022-02-10,1.1428
2022-02-18,1.1322
2022-02-28,1.1219
2022-03-01,1.1125
2022-03-03,1.1066
2022-03-04,1.0929
2022-03-09,1.1076
2022-03-10,1.0986
2022-03-16,1.1036
2022-03-21,1.1016
2022-03-22,1.1029
2022-03-28,1.0985
2022-03-29,1.1087
2022-03-30,1.1159
2022-03-31,1.1067
2022-04-01,1.1043
2022-04-04,1.0972
2022-04-07,1.0879
2022-04-08,1.0877
2022-04-11,1.0884
2022-04-13,1.0888
2022-04-15,1.081
2022-04-19,1.0788
2022-04-21,1.0834
2022-04-28,1.0499
2022-05-01,1.0499
2022-05-06,1.0551
2022-05-10,1.0529
2022-05-11,1.0513
2022-05-17,1.055
2022-05-18,1.0464
2022-05-19,1.0588
2022-05-20,1.0564
2022-05-23,1.0691
2022-05-24,1.0736
2022-06-01,1.065
2022-06-02,1.0747
2022-06-08,1.0716
2022-06-21,1.0533
2022-06-23,1.0524
2022-06-24,1.0553
2022-06-27,1.0584
2022-06-28,1.0519
2022-06-29,1.0442
2022-06-30,1.0484
2022-07-01,1.0414
2022-07-05,1.0267
2022-07-06,1.0182
2022-07-08,1.0185
2022-07-10,1.0185
2022-07-11,1.004
2022-07-12,1.0038
2022-07-14,1.0018
2022-07-15,1.008
2022-07-18,1.0143
2022-07-19,1.0227
2022-07-22,1.0213
2022-07-25,1.022
2022-07-29,1.022
2022-08-01,1.0262
2022-08-02,1.0167
2022-08-05,1.0183
2022-08-08,1.0197
2022-08-09,1.0213
2022-08-10,1.0299
2022-08-16,1.0171
2022-08-17,1.018
2022-08-18,1.0087
2022-08-26,0.9965
2022-08-29,0.9997
2022-08-30,1.0015
2022-08-31,1.0054
2022-09-01,0.9946
2022-09-06,0.9904
2022-09-07,1.0006
2022-09-10,1.0006
2022-09-11,1.0006
2022-09-14,0.9981
2022-09-15,1.0001
2022-09-19,1.0024
2022-09-22,0.9836
