transaction-code,portfolio-code,product-code,transaction-quantity,transaction-price,transaction-date,transaction-direction,source-system
TR-C6M5-C7F2,P1-EUR,PR-Y6Z1C,1700000.0,1.0,2021-12-30,BUY,CURRENT
TR-G8T6-J4P8,P1-EUR,PR-S3F9S-01,-53333.68,1.0,2021-12-15,SELL,CURRENT
TR-K7D7-D4S8,P1-EUR,PR-H2M7X-03,-1800000.0,1.0,2021-12-27,SELL,CURRENT
TR-D4M3-W5R9,P1-EUR,PR-L7H1G,-266240.0,1.0,2021-12-30,SELL,CURRENT
TR-P8Z1-V9B8,P1-EUR,PR-D0D1L,-1063988.0,1.0,2021-12-20,SELL,CURRENT
TR-J7L1-S0N0,P1-EUR,PR-J0Q5F-03,-1999999.9999999998,1.0,2021-12-02,SELL,CURRENT
TR-D7H7-C4P5,P1-EUR,PR-D0D1L,-12.0,1.0,2021-12-20,SELL,CURRENT
TR-J5V0-H7Z4,P2-USD,PR-R4Y5Z-01,-3900000.0,1.0,2021-12-13,SELL,CURRENT
TR-R4V5-V1S6,P2-USD,PR-R4Y5Z-02,3900000.0,1.0,2021-12-13,BUY,CURRENT
TR-M3D6-D0H4,P1-EUR,PR-P4H9W,1899999.9999999998,1.0,2021-12-07,BUY,CURRENT
TR-C2G9-B2G4,P1-EUR,PR-P3Q1D,1800000.0,1.0,2021-12-29,BUY,CURRENT
TR-M8T8-W7B3,P1-EUR,PR-Q9H9X,-324000.0,1.0,2021-12-28,SELL,CURRENT
TR-X1P7-K9M1,P1-EUR,PR-H8G8F-02,-286478.0,1.0,2021-12-06,SELL,CURRENT
TR-P9K9-S4H3,P1-EUR,PR-H8G8F-03,286478.0,1.0,2021-12-06,BUY,CURRENT
TR-S5P0-K9S8,P1-EUR,PR-P4Q6N,259049.32,1.0,2022-05-20,BUY,CURRENT
TR-M7F4-K1V3,P1-EUR,PR-C0W4K,102401.11000000002,1.0,2022-05-24,BUY,CURRENT
TR-L8F4-L6J4,P1-EUR,PR-J8S9K,200000.0,1.0,2022-05-18,BUY,CURRENT
TR-V8S5-S1G2,P1-EUR,PR-X8W3M,343000.0,1.0,2022-03-16,BUY,CURRENT
TR-V3X3-N1Z3,P2-USD,PR-K7R0X,-3900000.0,1.0,2022-04-19,SELL,CURRENT
TR-K2F0-K4S6,P2-USD,PR-K7R0X-01,3900000.0,1.0,2022-04-19,BUY,CURRENT
TR-Y8Z2-C8M7,P1-EUR,PR-R9D5W,-127399.99999999999,1.0,2022-04-15,SELL,CURRENT
TR-K1Y4-H1Q1,P1-EUR,PR-R9D5W-01,127399.99999999999,1.0,2022-04-15,BUY,CURRENT
TR-M3Y6-N2H1,P1-EUR,PR-H5Z5N,708177.0,1.0,2022-06-28,BUY,CURRENT
