price-date,EURUSD
04.05.2021,1.2014
04.06.2021,1.2167
09.06.2021,1.218
30.07.2021,1.1871
02.08.2021,1.187
03.08.2021,1.1864
06.08.2021,1.1762
12.08.2021,1.173
23.08.2021,1.1745
07.09.2021,1.184
08.09.2021,1.1816
21.09.2021,1.1726
23.09.2021,1.1739
22.10.2021,1.1644
28.10.2021,1.1681
01.11.2021,1.1606
02.11.2021,1.1579
03.11.2021,1.1612
04.11.2021,1.1554
09.11.2021,1.1593
19.11.2021,1.129
29.11.2021,1.1291
01.12.2021,1.132
02.12.2021,1.1301
06.12.2021,1.1286
07.12.2021,1.1267
13.12.2021,1.1284
15.12.2021,1.1289
20.12.2021,1.1278
27.12.2021,1.1328
28.12.2021,1.131
29.12.2021,1.1349
30.12.2021,1.1325
01.01.2022,
06.01.2022,1.1297
14.01.2022,1.1411
20.01.2022,1.1312
24.01.2022,1.1326
26.01.2022,1.124
31.01.2022,1.1235
03.02.2022,1.144
08.02.2022,1.1415
10.02.2022,1.1428
18.02.2022,1.1322
28.02.2022,1.1219
01.03.2022,1.1125
03.03.2022,1.1066
04.03.2022,1.0929
09.03.2022,1.1076
10.03.2022,1.0986
16.03.2022,1.1036
21.03.2022,1.1016
22.03.2022,1.1029
28.03.2022,1.0985
29.03.2022,1.1087
30.03.2022,1.1159
31.03.2022,1.1067
01.04.2022,1.1043
04.04.2022,1.0972
07.04.2022,1.0879
08.04.2022,1.0877
11.04.2022,1.0884
13.04.2022,1.0888
15.04.2022,1.081
19.04.2022,1.0788
21.04.2022,1.0834
28.04.2022,1.0499
01.05.2022,
06.05.2022,1.0551
10.05.2022,1.0529
11.05.2022,1.0513
17.05.2022,1.055
18.05.2022,1.0464
19.05.2022,1.0588
20.05.2022,1.0564
23.05.2022,1.0691
24.05.2022,1.0736
01.06.2022,1.065
02.06.2022,1.0747
08.06.2022,1.0716
21.06.2022,1.0533
23.06.2022,1.0524
24.06.2022,1.0553
27.06.2022,1.0584
28.06.2022,1.0519
29.06.2022,1.0442
30.06.2022,1.0484
01.07.2022,1.0414
05.07.2022,1.0267
06.07.2022,1.0182
08.07.2022,1.0185
10.07.2022,
11.07.2022,1.004
12.07.2022,1.0038
14.07.2022,1.0018
15.07.2022,1.008
18.07.2022,1.0143
19.07.2022,1.0227
22.07.2022,1.0213
25.07.2022,1.022
29.07.2022,1.022
01.08.2022,1.0262
02.08.2022,1.0167
05.08.2022,1.0183
08.08.2022,1.0197
09.08.2022,1.0213
10.08.2022,1.0299
16.08.2022,1.0171
17.08.2022,1.018
18.08.2022,1.0087
26.08.2022,0.9965
29.08.2022,0.9997
30.08.2022,1.0015
31.08.2022,1.0054
01.09.2022,0.9946
06.09.2022,0.9904
07.09.2022,1.0006
10.09.2022,
11.09.2022,
14.09.2022,0.9981
15.09.2022,1.0001
19.09.2022,1.0024
22.09.2022,0.9836
